name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
lagos,2019-04-24,87.3,76.4,82.1,102.3,76.4,89.5,77.3,85.5,0.079,100,4.17,rain,0,0,15.9,6.5,194.3,1011.1,95.7,4.5,208.3,18,8,,2019-04-24T06:35:19,2019-04-24T18:54:02,0.66,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"remote,65201099999"
lagos,2019-04-25,91.7,80.2,84.8,111.5,87.1,97.7,79.5,84.6,0.122,100,20.83,rain,0,0,18.1,9.6,220.7,1012.3,74.5,6.1,212,18.3,8,,2019-04-25T06:34:59,2019-04-25T18:54:01,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,65202099999,DNMM,remote,65201099999"
lagos,2019-04-26,88.1,80.6,84.1,104.6,88.1,96.2,79.1,85.2,0.036,100,20.83,rain,0,0,16.8,10.3,211.7,1011.7,59,6.2,185.3,15.9,7,,2019-04-26T06:34:39,2019-04-26T18:54:01,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
lagos,2019-04-27,93.2,80.2,85.5,113.5,86.9,98.6,79.6,83.5,0,0,0,,0,0,19.2,15,216.9,1011,46.3,6.1,205.6,17.6,7,,2019-04-27T06:34:20,2019-04-27T18:54:01,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,65201099999"
lagos,2019-04-28,95,80.6,86.6,116.1,88.1,101,79.8,81.2,0,0,0,,0,0,19.7,13.9,225,1011.2,44.6,6.2,247.1,21.2,8,,2019-04-28T06:34:02,2019-04-28T18:54:01,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
lagos,2019-04-29,95,80.6,86.9,116.1,88.1,102,80,81,0,0,0,,0,0,20.8,16.1,231.9,1011.7,57.1,6.1,217.2,18.8,7,,2019-04-29T06:33:44,2019-04-29T18:54:02,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2019-04-30,93,80.2,86,111.5,86.1,100.1,79.7,82.3,0.079,100,4.17,rain,0,0,21.5,16.1,224.6,1012.6,57.5,6.2,186.9,16.1,7,,2019-04-30T06:33:26,2019-04-30T18:54:03,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,65201099999"
lagos,2019-05-01,93.5,80.6,86.5,107.6,88.1,98.5,78.3,78,0.004,100,4.17,rain,0,0,18.6,11.4,224.5,1012.2,55.2,6.2,227.1,19.8,8,,2019-05-01T06:33:10,2019-05-01T18:54:05,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DNMM,remote,65201099999"
lagos,2019-05-02,93.2,76.6,84.7,110.4,76.6,94.7,77.6,80.4,0,0,0,,0,0,20.1,17.2,227.3,1011.6,48,6.2,203.5,17.6,8,,2019-05-02T06:32:54,2019-05-02T18:54:07,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
lagos,2019-05-03,92,77,85,110.9,77,96.7,78.6,81.8,0.012,100,12.5,rain,0,0,34.4,17.2,223,1011.3,48.7,6.1,123.9,10.7,4,,2019-05-03T06:32:38,2019-05-03T18:54:09,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
