,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
15,"Lagos, Nigeria",2017-07-16,27.3,24.2,25.8,30.8,24.2,26.2,23.7,88.3,7.4,100,45.83,rain,0,0.0,32.8,22.3,251.8,1014.5,73.7,9.1,165.0,14.3,7,,2017-07-16T06:38:48,2017-07-16T19:06:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
16,"Lagos, Nigeria",2017-07-17,26.0,25.0,25.6,26.0,25.0,25.6,24.1,91.5,8.0,100,8.33,rain,0,0.0,28.8,22.3,255.9,1014.3,62.9,7.9,126.1,10.7,5,,2017-07-17T06:38:59,2017-07-17T19:06:13,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
17,"Lagos, Nigeria",2017-07-18,28.0,23.8,25.4,32.5,23.8,25.7,23.9,91.9,5.0,100,8.33,rain,0,0.0,27.7,20.5,245.6,1015.2,66.4,7.3,156.7,13.3,6,,2017-07-18T06:39:09,2017-07-18T19:06:11,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,DNMM,remote,65201099999"
18,"Lagos, Nigeria",2017-07-19,27.0,25.3,26.0,30.2,25.3,26.1,23.8,87.9,2.4,100,66.67,rain,0,0.0,34.6,16.6,221.3,1015.6,79.0,8.0,194.5,16.9,7,,2017-07-19T06:39:19,2017-07-19T19:06:09,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999"
19,"Lagos, Nigeria",2017-07-20,27.8,24.6,26.0,31.8,24.6,27.0,23.8,88.2,1.7,100,45.83,rain,0,0.0,34.9,18.4,238.9,1014.1,50.9,,233.5,20.2,8,,2017-07-20T06:39:29,2017-07-20T19:06:07,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
20,"Lagos, Nigeria",2017-07-21,27.4,24.8,25.9,31.0,24.8,26.6,23.7,87.7,4.2,100,54.17,rain,0,0.0,34.9,17.3,245.2,1013.2,71.3,,219.3,18.9,8,,2017-07-21T06:39:38,2017-07-21T19:06:04,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
21,"Lagos, Nigeria",2017-07-22,26.3,24.7,25.4,26.3,24.7,25.4,23.7,90.3,38.9,100,87.5,rain,0,0.0,44.6,29.9,246.8,1012.8,100.0,,33.2,3.0,2,,2017-07-22T06:39:47,2017-07-22T19:05:59,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
22,"Lagos, Nigeria",2017-07-23,28.0,23.6,25.5,31.9,23.6,26.2,23.6,89.8,23.0,100,8.33,rain,0,0.0,36.4,31.7,255.5,1015.3,84.9,8.1,118.4,10.2,5,,2017-07-23T06:39:55,2017-07-23T19:05:55,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,DNMM,remote,65201099999"
23,"Lagos, Nigeria",2017-07-24,27.0,24.0,25.3,29.6,24.0,25.4,23.3,88.9,6.0,100,12.5,rain,0,0.0,42.1,23.8,245.1,1015.5,63.0,8.5,195.0,16.9,7,,2017-07-24T06:40:03,2017-07-24T19:05:49,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
24,"Lagos, Nigeria",2017-07-25,26.0,24.2,25.2,26.0,24.2,25.2,23.2,88.6,5.0,100,8.33,rain,0,0.0,35.3,31.7,248.6,1015.6,84.0,8.1,172.8,15.0,6,,2017-07-25T06:40:10,2017-07-25T19:05:43,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
25,"Lagos, Nigeria",2017-07-26,29.0,24.0,25.5,32.7,24.0,26.1,23.3,87.9,0.9,100,20.83,rain,0,0.0,33.8,18.4,236.5,1014.4,64.0,8.1,200.8,17.3,7,,2017-07-26T06:40:17,2017-07-26T19:05:36,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
26,"Lagos, Nigeria",2017-07-27,27.4,24.3,25.5,30.5,24.3,26.1,23.2,87.6,1.1,100,37.5,rain,0,0.0,28.8,13.3,239.8,1013.1,62.7,10.0,209.6,18.0,8,,2017-07-27T06:40:24,2017-07-27T19:05:28,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999"
27,"Lagos, Nigeria",2017-07-28,29.0,24.0,26.2,33.6,24.0,27.6,23.7,87.1,0.0,0,0.0,,0,0.0,31.7,20.5,245.4,1014.1,68.5,9.2,178.4,15.5,6,,2017-07-28T06:40:30,2017-07-28T19:05:19,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
28,"Lagos, Nigeria",2017-07-29,28.0,24.8,25.9,31.9,24.8,26.8,23.7,87.6,0.1,100,4.17,rain,0,0.0,36.4,22.3,250.0,1015.0,73.4,8.5,150.9,12.9,5,,2017-07-29T06:40:36,2017-07-29T19:05:10,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999"
29,"Lagos, Nigeria",2017-07-30,29.0,24.2,26.0,33.6,24.2,27.0,23.2,84.8,0.5,100,16.67,rain,0,0.0,37.1,25.9,253.0,1014.3,75.2,9.5,152.4,13.2,7,,2017-07-30T06:40:41,2017-07-30T19:05:00,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"DNMM,remote,65201099999"
30,"Lagos, Nigeria",2017-07-31,28.0,24.8,25.9,31.9,24.8,26.8,23.2,85.3,0.1,100,4.17,rain,0,0.0,41.8,27.7,249.6,1014.6,66.4,9.5,176.5,15.3,7,,2017-07-31T06:40:45,2017-07-31T19:04:49,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,65213099999,DNMM,remote,65201099999"
31,"Lagos, Nigeria",2017-08-01,28.0,24.4,25.5,31.3,24.4,26.0,23.3,87.8,2.3,100,29.17,rain,0,0.0,39.2,24.1,260.5,1014.8,81.9,8.0,142.7,12.2,5,,2017-08-01T06:40:50,2017-08-01T19:04:38,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999"
32,"Lagos, Nigeria",2017-08-02,26.4,23.9,25.2,26.4,23.9,25.2,23.8,92.4,9.0,100,8.33,rain,0,0.0,23.8,22.3,249.5,1015.5,73.8,8.4,84.7,7.3,3,,2017-08-02T06:40:53,2017-08-02T19:04:25,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
33,"Lagos, Nigeria",2017-08-03,25.1,23.9,24.3,25.1,23.9,24.3,23.1,93.0,8.0,100,4.17,rain,0,0.0,32.4,24.1,260.9,1016.3,72.2,7.3,66.1,5.7,3,,2017-08-03T06:40:57,2017-08-03T19:04:12,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,65213099999,DNMM,remote,65201099999"
34,"Lagos, Nigeria",2017-08-04,26.9,22.4,24.6,29.2,22.4,24.6,22.8,90.2,4.0,100,4.17,rain,0,0.0,38.9,22.3,256.5,1014.4,94.0,8.0,104.4,8.8,3,,2017-08-04T06:40:59,2017-08-04T19:03:59,0.39,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"65213099999,DNMM,remote,65201099999"
35,"Lagos, Nigeria",2017-08-05,26.6,22.1,24.6,26.6,22.1,24.6,23.0,90.7,7.0,100,4.17,rain,0,0.0,31.7,22.3,251.3,1014.1,91.6,8.2,89.6,7.8,4,,2017-08-05T06:41:02,2017-08-05T19:03:44,0.43,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"65213099999,DNMM,remote,65201099999"
36,"Lagos, Nigeria",2017-08-06,28.0,24.0,25.3,31.9,24.0,26.1,23.2,88.4,0.0,0,0.0,,0,0.0,38.9,24.1,258.1,1015.3,82.5,9.0,81.7,7.1,3,,2017-08-06T06:41:03,2017-08-06T19:03:29,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
37,"Lagos, Nigeria",2017-08-07,28.8,23.0,25.4,32.4,23.0,26.0,22.7,85.6,0.6,100,12.5,rain,0,0.0,27.7,25.9,262.1,1015.2,70.3,9.3,107.4,9.3,4,,2017-08-07T06:41:05,2017-08-07T19:03:13,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,DNMM,remote,65201099999"
